CÓD. ESCOLA,DEP. ADMIN.,LOC. ESCOLA,CÓD. MUN. PROVA,NOME MUN. PROVA,CÓDIGO UF,SIGLA UF,PRESENÇA EM CN,PRESENÇA EM CH,PRESENÇA EM LC,PRESENÇA EM MT,NOTA EM CN,NOTA EM CH,NOTA EM LC,NOTA EM MT,LÍNGUA ESTRANGEIRA,STATUS REDAÇÃO,NOTA COMP. 1 RED.,NOTA COMP. 2 RED.,NOTA COMP. 3 RED.,NOTA COMP. 4 RED.,NOTA COMP. 5 RED.,NOTA FINAL REDAÇÃO
,,,3201308,Cariacica,32,ES,Presente,Presente,Presente,Presente,408.2,500.5,528.3,553.0,Inglês,Cópia Texto Motivador,0.0,0.0,0.0,0.0,0.0,0.0
,,,3205200,Vila Velha,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
32041411.0,4.0,1.0,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,533.5,665.5,617.3,734.4,Inglês,Sem problemas,160.0,200.0,160.0,200.0,180.0,900.0
,,,3201308,Cariacica,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3200409,Anchieta,32,ES,Presente,Presente,Presente,Presente,570.1,585.5,589.2,609.0,Inglês,Sem problemas,140.0,200.0,180.0,200.0,180.0,900.0
,,,3201308,Cariacica,32,ES,Faltou,Presente,Presente,Faltou,,363.4,529.0,,Espanhol,Sem problemas,80.0,120.0,100.0,60.0,60.0,420.0
32043686.0,2.0,1.0,3202405,Guarapari,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3202405,Guarapari,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Inglês,,,,,,,
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,680.8,666.7,630.3,941.7,Inglês,Sem problemas,140.0,200.0,180.0,200.0,140.0,860.0
,,,3204906,São Mateus,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,532.7,432.9,515.1,441.2,Inglês,Sem problemas,120.0,120.0,120.0,140.0,60.0,560.0
,,,3201209,Cachoeiro de Itapemirim,32,ES,Presente,Presente,Presente,Presente,469.9,620.8,519.8,403.6,Espanhol,Sem problemas,100.0,120.0,80.0,120.0,60.0,480.0
,,,3200409,Anchieta,32,ES,Presente,Presente,Presente,Presente,550.3,621.1,576.3,557.6,Espanhol,Sem problemas,120.0,120.0,80.0,120.0,120.0,560.0
32038500.0,2.0,1.0,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,527.1,477.6,487.1,459.0,Inglês,Sem problemas,120.0,160.0,120.0,120.0,120.0,640.0
,,,3201506,Colatina,32,ES,Presente,Presente,Presente,Presente,568.9,479.2,493.8,586.5,Inglês,Sem problemas,140.0,120.0,120.0,140.0,40.0,560.0
32059850.0,2.0,1.0,3203320,Marataízes,32,ES,Presente,Presente,Presente,Presente,425.4,490.2,390.9,426.0,Inglês,Sem problemas,120.0,160.0,100.0,120.0,0.0,500.0
,,,3203205,Linhares,32,ES,Presente,Presente,Presente,Presente,568.6,558.0,582.1,681.9,Inglês,Sem problemas,120.0,180.0,120.0,140.0,160.0,720.0
,,,3205309,Vitória,32,ES,Presente,Presente,Presente,Presente,415.7,556.3,536.3,405.6,Espanhol,Sem problemas,100.0,40.0,40.0,100.0,60.0,340.0
,,,3205200,Vila Velha,32,ES,Presente,Presente,Presente,Presente,432.8,488.1,512.0,454.8,Espanhol,Sem problemas,140.0,200.0,140.0,180.0,180.0,840.0
,,,3205200,Vila Velha,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3205002,Serra,32,ES,Presente,Presente,Presente,Presente,568.1,595.0,609.2,627.2,Inglês,Sem problemas,160.0,160.0,180.0,180.0,160.0,840.0
,,,3205002,Serra,32,ES,Faltou,Faltou,Faltou,Faltou,,,,,Espanhol,,,,,,,
,,,3201506,Colatina,32,ES,Presente,Presente,Presente,Presente,461.6,456.2,480.8,433.3,Espanhol,Sem problemas,80.0,120.0,100.0,100.0,40.0,440.0
32052103.0,2.0,1.0,3201209,Cachoeiro de Itapemirim,32,ES,Presente,Presente,Presente,Presente,402.0,448.6,534.8,603.3,Inglês,Sem problemas,120.0,160.0,120.0,120.0,120.0,640.0
